Критерий,N,Доля совпадений,Среднее абсолютное расхождение,Cohen's kappa
completeness,100,0.94,0.06,0.812
efficiency,100,0.88,0.12,0.714
readability,100,0.9,0.1,0.78
expert_score_rounded,100,0.91,0.08,0.795
