model_name,benchmark,run_label,n_samples,functional_correctness,pass@1,pass@5,pass@10,Tinf,Mem,Tok,Cost,Eff,_weights,Tinf_norm,Mem_norm,Tok_norm,Cost_norm,Eff_normalized
ChatGPT,humaneval_plus,fc,164,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,3042.1953187986264,,373.2865853658537,0.001522263719512195,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",0.14083123418215074,,0.01641384675223678,1.0,
CodeGemma-7B,humaneval_plus,fc,164,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.5365853658536586,3125.980608292692,,527.4817073170732,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",0.14904724325095564,,1.0,0.0,
CodeLlama-7B,humaneval_plus,fc,164,0.3231707317073171,0.3231707317073171,0.3231707317073171,0.3231707317073171,1606.0253210609756,,473.0121951219512,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",0.0,,0.6525476468300271,0.0,
DeepSeek-Coder-V2-Lite,humaneval_plus,fc,164,0.6890243902439024,0.6890243902439024,0.6890243902439024,0.6890243902439024,11803.834110268293,,417.2378048780488,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",1.0,,0.29677168416958394,0.0,
DeepSeek,humaneval_plus,fc,164,0.9085365853658537,0.9085365853658537,0.9085365853658537,0.9085365853658537,3169.9441626707726,,370.7134146341463,0.00011998939024390244,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",0.15335832176662742,,0.0,0.07882299808232485,
Qwen2.5-Coder-7B,humaneval_plus,fc,164,0.7865853658536586,0.7865853658536586,0.7865853658536586,0.7865853658536586,1654.4751614512195,,423.9329268292683,0.0,,"{'alpha': 0.3, 'beta': 0.2, 'gamma': 0.2, 'delta': 0.3}",0.004751004984670826,,0.3394788020225594,0.0,
