Cost,Cost_norm,Eff,Eff_normalized,Mem,Mem_norm,Tinf,Tinf_norm,Tok,Tok_norm,benchmark,execution_accuracy,model_name,n_samples,pass@1,pass@10,pass@5,run_label
0.0,0.0,,,,,1611.9600225,0.3515739585157067,1195.6,0.6980607009305155,bird,0.4,Arctic-Text2SQL-R1-7B,10,0.4,0.4,0.4,ea
0.0,0.0,,,,,1661.6166118,0.36809264726638236,449.4,0.0491347073658579,spider,1.0,Arctic-Text2SQL-R1-7B,10,1.0,1.0,1.0,ea
0.001891125,1.0,,,,,2117.836270100088,0.5198580150380009,1105.5,0.6197060613966432,bird,0.4,ChatGPT,10,0.4,0.4,0.4,ea
0.00074925,0.39619274241522906,,,,,1505.059078100021,0.31601244588285,392.9,0.0,spider,1.0,ChatGPT,10,1.0,1.0,1.0,ea
0.0002839650847457627,0.15015669759839392,,,,,2371.7556052961513,0.6043264516545737,983.6844850065189,0.5137703148156526,bird,0.3376792698826597,DeepSeek-V3.2,1534,0.3376792698826597,0.3376792698826597,0.3376792698826597,ea
0.00012926481624758222,0.0683533961253657,,,,,2001.191430409019,0.4810551123740997,442.8723404255319,0.04345798802116002,spider,0.7379110251450677,DeepSeek-V3.2,1034,0.7379110251450677,0.7379110251450677,0.7379110251450677,ea
0.00032911200000000006,0.17402974419988104,,,,,3561.1840874000336,1.0,1144.1,0.6532741977563266,bird,0.4,DeepSeek,10,0.4,0.4,0.4,ea
0.00012292000000000002,0.06499834754445107,,,,,2499.0584116007085,0.6466748179857369,424.1,0.027132794156013603,spider,0.9,DeepSeek,10,0.9,0.9,0.9,ea
0.0,0.0,,,,,788.8621487607562,0.07776341737083926,946.9289439374185,0.4818061952669088,bird,0.1440677966101695,Defog-Llama3-SQLCoder-8B,1534,0.1440677966101695,0.1440677966101695,0.1440677966101695,ea
0.0,0.0,,,,,555.0986741150871,0.0,421.65667311411994,0.025007977314653415,spider,0.5319148936170213,Defog-Llama3-SQLCoder-8B,1034,0.5319148936170213,0.5319148936170213,0.5319148936170213,ea
0.0,0.0,,,,,940.9912572000001,0.1283704652500951,1542.8,1.0,bird,0.0,Hrida-T2SQL,10,0.0,0.0,0.0,ea
0.0,0.0,,,,,1231.6672175,0.2250663072961664,628.2,0.20462648925993568,spider,0.2,Hrida-T2SQL,10,0.2,0.2,0.2,ea
