Cost,Cost_norm,Cost_q05,Cost_q50,Cost_q95,Eff,Eff_normalized,Mem,Mem_q05,Mem_q50,Mem_q95,Tinf,Tinf_norm,Tinf_q05,Tinf_q50,Tinf_q95,Tok,Tok_norm,Tok_q05,Tok_q50,Tok_q95,benchmark,execution_accuracy,execution_accuracy_ci_high,execution_accuracy_ci_low,execution_accuracy_q05,execution_accuracy_q50,execution_accuracy_q95,model_display_name,model_name,model_version,n_samples,pass@1,pass@1_ci_high,pass@1_ci_low,pass@1_q05,pass@1_q50,pass@1_q95,pass@3,pass@3_ci_high,pass@3_ci_low,pass@3_q05,pass@3_q50,pass@3_q95,pass@5,pass@5_ci_high,pass@5_ci_low,pass@5_q05,pass@5_q50,pass@5_q95,run_label
0.0,0.0,0.0,0.0,0.0,902.5081727655411,0.35675788033394873,,,,,1937.288346419687,0.5489228523850914,799.8699076,1759.269965,3702.5034597999975,1071.0722294654497,0.6402700820614045,497.0,1099.0,2225.0,bird,0.21316818774445892,0.2343661148590745,0.19340324657117658,0.19621903520208606,0.21251629726205998,0.2288135593220339,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,latest,1534,0.21160365058670144,0.2320762711864407,0.1915189048239896,0.19490873533246417,0.21173402868318122,0.2288135593220339,0.22529335071707954,0.24654823989569752,0.2046903520208605,0.20704041720990876,0.22542372881355932,0.24251629726205995,0.23468057366362452,0.25555736636245113,0.21251629726205998,0.21577574967405475,0.23468057366362452,0.2529335071707953,pass_k
0.0,0.0,0.0,0.0,0.0,614.7111237262861,0.1300984722834429,,,,,1494.2570017181818,0.35172736706541075,621.61784385,1195.134997,3240.68976015,554.780077369439,0.08193420721273231,341.0,476.0,1052.0,spider,0.5522243713733076,0.5822848355576268,0.5217773013729224,0.5270793036750484,0.5531914893617021,0.5783365570599613,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,latest,1034,0.553771760154739,0.5831818181818181,0.5272727272727273,0.5307543520309478,0.5541586073500967,0.5793036750483559,0.5750483558994197,0.6054158607350096,0.5469970986460347,0.551063829787234,0.5754352030947776,0.6011702127659575,0.5889748549323017,0.6179883945841392,0.5599613152804642,0.5638297872340425,0.5880077369439072,0.6131528046421664,pass_k
0.001852195404172099,1.0,0.0009875,0.0017200000000000002,0.00330375,962.2988744978148,0.7737480807756982,,,,,2186.9951259725076,0.6600685990019801,1213.2108050502666,1906.8984574978458,4097.809954649433,1020.6653194263364,0.585758336917014,442.0,1064.0,2162.0,bird,0.28683181225554105,0.30997543417533446,0.26475315943305666,0.26792698826597133,0.28715775749674055,0.3070404172099087,ChatGPT 5.2,ChatGPT,5.2,1534,0.28748370273794005,0.30653194263363753,0.26688396349413296,0.26897001303780965,0.28748370273794005,0.3044328552803129,0.35241199478487617,0.3767323989569752,0.329395371577575,0.3338983050847458,0.3526075619295958,0.37242829204693606,0.37353324641460234,0.3983050847457627,0.3494132985658409,0.3533246414602347,0.37353324641460234,0.39374185136897,pass_k
0.0009461818181818181,0.5108434110410429,0.000545,0.00086875,0.0016063750000000004,740.3707666654301,0.37590408301006234,,,,,1988.8856266642642,0.5718890619788173,1259.103024450451,1750.2188744983869,3538.0018160002705,479.015667311412,0.0,274.0,400.0,941.0,spider,0.741779497098646,0.7675261892698868,0.7142429631863594,0.7195357833655706,0.741779497098646,0.7640232108317214,ChatGPT 5.2,ChatGPT,5.2,1034,0.7423597678916828,0.7667408123791102,0.7179738878143133,0.721073500967118,0.7427466150870407,0.7640232108317214,0.7637330754352032,0.7895575435203095,0.7379086073500967,0.7422630560928434,0.7647001934235977,0.7855899419729206,0.7717601547388782,0.7969052224371374,0.746615087040619,0.7504835589941973,0.7717601547388782,0.7920696324951644,pass_k
0.00030297765058670144,0.16357758468908817,0.00013748,0.00031073,0.00064484,1200.697563219624,0.5512008972268708,,,,,2950.7056411816966,1.0,1921.1139865466976,2819.3053349968977,4271.734766701775,1051.6191655801824,0.6192328778374517,463.0,1097.0,2277.0,bird,0.31747066492829207,0.3411961742274868,0.29465705577358214,0.29791395045632335,0.31747066492829207,0.3364080834419817,DeepSeek V3.2,DeepSeek,V3.2,1534,0.3200782268578879,0.3435495436766623,0.2976434159061278,0.30090612777053455,0.32046936114732727,0.34067796610169493,0.34817470664928296,0.37269067796610167,0.325027705345502,0.3288135593220339,0.3480443285528031,0.36753585397653193,0.36114732724902215,0.38461538461538464,0.33833116036505867,0.34220990873533247,0.3617992177314211,0.38070404172099087,pass_k
0.00014998814700193424,0.08097857637702999,8.89e-05,0.00013160000000000003,0.00028490000000000004,839.8063024502862,0.2550640547091611,,,,,2284.4738707237216,0.7034568797849574,1589.4956250995165,2191.426686498744,3248.204732148952,514.8802707930367,0.03878520074287296,302.0,445.0,1003.0,spider,0.7379110251450677,0.7638001574707631,0.7102606885461831,0.7156673114119922,0.7369439071566731,0.7602030947775628,DeepSeek V3.2,DeepSeek,V3.2,1034,0.739458413926499,0.765183752417795,0.7135348162475821,0.7170019342359768,0.7398452611218569,0.760348162475822,0.7618955512572534,0.7866561895551257,0.7354883945841392,0.7395551257253385,0.7626692456479691,0.7841392649903288,0.769825918762089,0.7920938104448743,0.7436895551257253,0.7475822050290135,0.7688588007736944,0.7891682785299806,pass_k
0.0,0.0,0.0,0.0,0.0,790.723061658618,0.295354281136648,,,,,1625.6852598529335,0.4102267474310695,693.03738235,1387.6612925,3451.6237265499985,1010.0582790091265,0.574287523024424,442.0,1040.0,2151.0,bird,0.1258148631029987,0.14335114055373716,0.11014798094845402,0.11147327249022164,0.1258148631029987,0.1395045632333768,Defog-Llama3-SQLCoder-8B q4_0,Defog-Llama3-SQLCoder-8B,q4_0,1534,0.12790091264667536,0.14328552803129074,0.11276727509778357,0.11472620599739243,0.12790091264667536,0.1402998696219035,0.145632333767927,0.16284224250325946,0.12946219035202086,0.1316818774445893,0.14524119947848763,0.15958930899608864,0.15710560625814862,0.17537483702737938,0.1395045632333768,0.14273142112125164,0.15710560625814862,0.17209908735332463,pass_k
0.0,0.0,0.0,0.0,0.0,515.4935531350677,0.07224259269763009,,,,,1235.26426157853,0.2364483925709024,478.339704,1038.7388945,2778.187990500001,483.047582205029,0.004360249754531244,271.0,407.0,938.0,spider,0.4323017408123791,0.4626927779353709,0.4024118593768802,0.41005802707930367,0.4332688588007737,0.4564796905222437,Defog-Llama3-SQLCoder-8B q4_0,Defog-Llama3-SQLCoder-8B,q4_0,1034,0.42998065764023213,0.45899419729206964,0.40287717601547396,0.4067698259187621,0.43036750483558994,0.45493230174081234,0.4682785299806576,0.497495164410058,0.43887330754352033,0.44352030947775634,0.4696324951644101,0.4932301740812379,0.4941972920696325,0.5241779497098646,0.4632495164410058,0.46808510638297873,0.4941972920696325,0.5183752417794971,pass_k
0.0,0.0,0.0,0.0,0.0,824.4710892817473,0.3855240216340811,,,,,1344.523144194264,0.28508007211360376,370.0283635,862.477714,7377.719696749993,1403.713820078227,1.0,655.3500000000001,1214.0,3567.0,bird,0.03780964797913951,0.04856671698578936,0.02936164040977436,0.02998696219035202,0.03780964797913951,0.046284224250325946,Hrida-T2SQL q8_0,Hrida-T2SQL,q8_0,1534,0.03415906127770534,0.043155149934810955,0.025554106910039114,0.027379400260756193,0.03370273794002608,0.042112125162972615,0.03754889178617992,0.04733050847457627,0.028683181225554105,0.029726205997392438,0.03741851368970013,0.04550195567144719,0.04041720990873533,0.05084745762711865,0.03129074315514994,0.03259452411994785,0.04041720990873533,0.04889178617992177,pass_k
0.0,0.0,0.0,0.0,0.0,427.3149753425338,0.07829234756407598,,,,,704.044953269439,0.0,238.78821095,664.2953095,1382.4929943500001,720.3382978723404,0.2609744918802533,426.0,633.0,1448.0,spider,0.3413926499032882,0.37083417198007745,0.313125264008625,0.316247582205029,0.3413926499032882,0.3655705996131528,Hrida-T2SQL q8_0,Hrida-T2SQL,q8_0,1034,0.3468085106382979,0.37679400386847195,0.31992263056092846,0.32357833655706,0.3471953578336557,0.3723500967117988,0.3655705996131528,0.39381044487427463,0.3371324951644101,0.3406092843326886,0.36576402321083173,0.3893617021276596,0.3771760154738878,0.40425531914893614,0.3481624758220503,0.3529980657640232,0.37620889748549324,0.3994197292069632,pass_k
